family,variant,horizon_days,parameters,observations,mean_ic,std_ic,tstat,positive_rate
trend,SMA100,1,"{""window"": 100}",4180,0.0009045699475229799,0.21358528930122775,0.27384884526314257,0.5251196172248804
trend,SMA100,5,"{""window"": 100}",4176,-0.004785167273819438,0.2024765007622767,-0.866741725902105,0.5057471264367817
trend,SMA100,10,"{""window"": 100}",4171,-0.007957316964277778,0.19416338142039358,-1.0755857308911938,0.5039558858786861
trend,SMA100,21,"{""window"": 100}",4160,-0.009537840529874043,0.18839014433924384,-0.9593346549270186,0.50625
trend,SMA100,42,"{""window"": 100}",4139,-0.01409140338967742,0.1772640280356428,-1.1291398590959694,0.49045663203672385
trend,SMA100,63,"{""window"": 100}",4118,-0.012161602320663543,0.16995596655333828,-0.8766063221036544,0.48203011170471105
trend,SMA100,126,"{""window"": 100}",4055,9.27780960358388e-05,0.156356609059825,0.006402958461314338,0.5299630086313194
trend,SMA100,252,"{""window"": 100}",3929,0.004937716188106429,0.16382122360522708,0.2911197817963759,0.5500127258844489
trend,SMA150,1,"{""window"": 150}",4180,0.004073943644378986,0.22353271629041183,1.1784577523117667,0.5308612440191387
trend,SMA150,5,"{""window"": 150}",4176,-0.001360334651320792,0.21437247919889582,-0.2310858853242375,0.5179597701149425
trend,SMA150,10,"{""window"": 150}",4171,-0.0048547977948751675,0.2067920403345101,-0.6118125726285739,0.5116279069767442
trend,SMA150,21,"{""window"": 150}",4160,-0.006194289645246525,0.1986660967988263,-0.5887681982176708,0.5211538461538462
trend,SMA150,42,"{""window"": 150}",4139,-0.009789654798446259,0.18217043101817842,-0.7633988638107387,0.5056776999275188
trend,SMA150,63,"{""window"": 150}",4118,-0.00841978671301182,0.1711337838779655,-0.5970922462117664,0.4968431277319087
trend,SMA150,126,"{""window"": 150}",4055,0.006131253409572726,0.1573719731775339,0.3724362416150168,0.5447595561035758
trend,SMA150,252,"{""window"": 150}",3929,0.004389946289802262,0.17018970856407548,0.20499153839190473,0.5306693815220158
trend,SMA200,1,"{""window"": 200}",4180,0.006245705846756597,0.23008186058793767,1.7552510518724989,0.5313397129186603
trend,SMA200,5,"{""window"": 200}",4176,0.001295077561725367,0.22183883728077464,0.21194572103876644,0.521551724137931
trend,SMA200,10,"{""window"": 200}",4171,-0.0021590578999741666,0.21462327197034003,-0.2611384905359564,0.5219371853272596
trend,SMA200,21,"{""window"": 200}",4160,-0.0034244108660300733,0.20640581318505902,-0.31082293687685897,0.5317307692307692
trend,SMA200,42,"{""window"": 200}",4139,-0.0052514787380443136,0.18945313382171827,-0.39026976574648475,0.5240396230973665
